name,type,latitude,longitude,elevation_m,significance,phase,date_key,notes
Fort Douaumont,fortification,49.2106,5.4272,388,Primary objective - largest fort in Verdun defensive system,multiple,"Feb 25 (lost), Oct 24 (recaptured)",Lost to Germans Feb 25 after minimal resistance; recaptured Oct 24 after massive bombardment
Fort Vaux,fortification,49.1989,5.4494,390,Major defensive position - scene of 7-day siege,multiple,"Jun 7 (lost), Nov 2 (recaptured)",Heroic defense May 31-Jun 7; garrison held despite no water; recaptured Nov 2 after German evacuation
Fort Souville,fortification,49.1908,5.4222,380,Southernmost German advance point (June 1916),Phase II,Jun 23,German high-water mark; never captured by Germans
Fort Tavannes,fortification,49.1856,5.4256,350,Tunnel fort - underground shelter and supply depot,multiple,all phases,Major tunnel system; site of ammunition explosion May 4
Fort Froideterre,fortification,49.1944,5.3931,345,Left bank defensive position,Phase I-II,Feb-Jun,Supported defense of Left Bank
Fort Thiaumont,fortification,49.2058,5.4333,385,Contested position between Douaumont and Fleury,Phase II-IV,Apr-Sep,Changed hands 16 times during battle
Mort-Homme (Hill 295),hill,49.2389,5.3331,295,Key Left Bank position - brutal fighting March-May,Phase I-II,Mar-May,"The Dead Man" - changed hands multiple times
Hill 304,hill,49.2403,5.3214,304,Left Bank height commanding Verdun,Phase I-II,Mar-May,Named for elevation; critical for observing French lines
Côte 304 West,terrain,49.2397,5.3189,300,Western approaches to Hill 304,Phase I-II,Mar-May,German assault routes
Côte de l'Oie,hill,49.2181,5.4278,361,Ridge near Fort Douaumont,Phase I,Feb,Early German objective
Côte du Poivre,hill,49.2033,5.4394,365,Hill between Douaumont and Vaux,Phase I-II,Feb-Jun,Contested throughout battle
Bois Bourrus Ridge,ridge,49.2153,5.4211,370,Ridge system north of Douaumont,Phase I,Feb,German advance route
Hassoule Ravine,ravine,49.2114,5.4186,340,Supply route to Fort Douaumont,multiple,all phases,Critical for fort resupply
Verdun,city,49.1594,5.3864,200,City being defended - French headquarters,all,all phases,City never fell; population evacuated
Fleury-devant-Douaumont,destroyed_village,49.2000,5.4350,360,Village destroyed and recaptured multiple times,Phase II-V,Jun-Oct,"Changed hands 16 times; completely destroyed; ""village that died for France"""
Douaumont village,destroyed_village,49.2136,5.4258,365,Village near fort - totally destroyed,Phase I,Feb 25,Captured same day as fort; never rebuilt
Vaux village,destroyed_village,49.2017,5.4478,375,Village near Fort Vaux - destroyed,Phase II,Jun,Destroyed during siege of fort
Beaumont,destroyed_village,49.2278,5.4344,345,Village captured early in German offensive,Phase I,Feb 24,One of first villages to fall
Ornes,destroyed_village,49.2319,5.4572,330,Northern village - German occupation,Phase I,Feb 24,"Zone Rouge (Red Zone) after war; never rebuilt"
